,0,1
362,362,0.1779
363,363,0.7636
364,364,-0.2023
365,365,0.69
366,366,-0.4019
367,367,-0.4939
368,368,-0.6486
369,369,-0.4767
370,370,0.5569
371,371,0.8125
372,372,0.0
373,373,-0.5859
374,374,0.5106
375,375,0.0
376,376,-0.8748
377,377,-0.2263
378,378,-0.3612
379,379,0.128
380,380,0.4671
381,381,0.8402
382,382,0.4767
383,383,0.048
384,384,-0.9294
385,385,-0.1027
386,386,0.4404
387,387,-0.3384
388,388,-0.1436
389,389,0.7469
390,390,0.0
391,391,0.1779
392,392,0.0772
393,393,0.0
394,394,-0.5536
395,395,0.0
396,396,0.0
397,397,0.0
398,398,-0.4939
399,399,-0.5364
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.5363
404,404,0.6369
405,405,0.0
406,406,0.3299
407,407,-0.5941
408,408,-0.0516
409,409,0.5719
410,410,0.0
411,411,-0.9587
412,412,0.4374
413,413,0.0
414,414,-0.3578
415,415,-0.128
416,416,0.0
417,417,0.631
418,418,0.0
419,419,0.8047
420,420,0.5883
421,421,0.2263
422,422,0.0
423,423,0.0
424,424,0.9158
425,425,-0.836
426,426,-0.9153
427,427,0.4588
428,428,0.0
429,429,0.0
430,430,0.6264
431,431,-0.88
432,432,-0.4075
433,433,-0.3182
434,434,0.0
435,435,0.0
436,436,0.3818
437,437,0.2263
438,438,0.1381
439,439,0.0
440,440,0.0
441,441,-0.5423
442,442,-0.8393
443,443,0.34
444,444,0.7593
445,445,0.7351
446,446,0.0
447,447,0.0
448,448,-0.3421
449,449,0.2732
450,450,0.2058
451,451,-0.2732
452,452,0.2263
453,453,0.5859
454,454,-0.7757
455,455,0.0
456,456,-0.1531
457,457,-0.8658
458,458,0.4228
459,459,0.7635
460,460,-0.2023
461,461,-0.8318
462,462,-0.1306
463,463,0.0
464,464,0.5994
465,465,-0.7034
466,466,0.5423
467,467,0.25
